Region/Country/Area,Land,Year,Series,Value,Footnotes,Source
724,Spain,2016,Important sites for terrestrial biodiversity protected (% of total sites protected),56.2600,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
724,Spain,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),56.2600,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
144,Sri Lanka,2005,Land area (thousand hectares),6271.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2005,Arable land (thousand hectares),1100.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2005,Permanent crops (thousand hectares),970.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2005,Forest cover (thousand hectares),2118.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2005,Arable land (% of total land area),17.5000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2005,Permanent crops (% of total land area),15.5000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2005,Forest cover (% of total land area),33.8000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),41.7400,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
144,Sri Lanka,2010,Land area (thousand hectares),6271.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2010,Arable land (thousand hectares),1200.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2010,Permanent crops (thousand hectares),980.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2010,Forest cover (thousand hectares),2103.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2010,Arable land (% of total land area),19.1000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2010,Permanent crops (% of total land area),15.6000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2010,Forest cover (% of total land area),33.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),47.4900,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCWC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, May 2018."
144,Sri Lanka,2016,Land area (thousand hectares),6271.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
144,Sri Lanka,2016,Arable land (thousand hectares),1300.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed October 2018."
