,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?
25-May,19.00,396.00,789.00,39.00,69.00,226.00,6709.00,97.00,2113.00,1311.00,3886.00,175.00,276.00,310.00,602.00,164.00,154.00,478.00,812.00,478.00,239.00,315.00,215.00,1319.00,121.00,116.00,111.00,107.00,160.00,130.00,567.00,86.00,82.00,58.00,21.00
26-May,19.00,407.00,807.00,39.00,69.00,226.00,6798.00,97.00,2130.00,1315.00,3943.00,176.00,277.00,322.00,630.00,164.00,154.00,488.00,868.00,513.00,265.00,315.00,215.00,1352.00,121.00,116.00,111.00,118.00,160.00,132.00,567.00,87.00,85.00,58.00,21.00
27-May,19.00,415.00,817.00,42.00,69.00,228.00,6895.00,97.00,2157.00,1326.00,4142.00,183.00,380.00,330.00,703.00,165.00,162.00,537.00,921.00,537.00,281.00,332.00,226.00,1381.00,121.00,118.00,111.00,119.00,170.00,132.00,581.00,88.00,85.00,60.00,21.00
28-May,20.00,420.00,831.00,42.00,71.00,228.00,7001.00,97.00,2181.00,1336.00,4313.00,184.00,281.00,337.00,819.00,165.00,175.00,562.00,942.00,541.00,297.00,362.00,240.00,1427.00,126.00,118.00,111.00,128.00,188.00,152.00,584.00,88.00,85.00,65.00,21.00
29-May,20.00,443.00,845.00,42.00,72.00,230.00,7128.00,97.00,2211.00,1350.00,4414.00,184.00,285.00,367.00,893.00,165.00,178.00,590.00,953.00,541.00,306.00,400.00,241.00,1468.00,126.00,131.00,117.00,139.00,215.00,158.00,640.00,88.00,90.00,68.00,21.00
30-May,20.00,455.00,858.00,45.00,86.00,233.00,7229.00,97.00,2231.00,1366.00,4613.00,184.00,291.00,398.00,893.00,165.00,196.00,594.00,963.00,552.00,322.00,406.00,241.00,1510.00,126.00,132.00,117.00,146.00,215.00,162.00,658.00,88.00,91.00,69.00,21.00
31-May,20.00,465.00,861.00,46.00,91.00,236.00,7348.00,97.00,2260.00,1403.00,4857.00,189.00,295.00,410.00,919.00,165.00,197.00,636.00,982.00,567.00,339.00,409.00,244.00,1541.00,128.00,133.00,117.00,153.00,223.00,168.00,675.00,92.00,92.00,94.00,21.00
1-Jun,20.00,482.00,867.00,46.00,91.00,237.00,7485.00,97.00,2294.00,1417.00,4922.00,196.00,297.00,419.00,948.00,165.00,197.00,652.00,995.00,567.00,339.00,417.00,244.00,1586.00,128.00,135.00,117.00,160.00,223.00,168.00,725.00,92.00,97.00,94.00,21.00
2-Jun,20.00,487.00,883.00,50.00,92.00,237.00,7541.00,97.00,2314.00,1432.00,5135.00,196.00,298.00,428.00,969.00,165.00,209.00,670.00,1019.00,574.00,354.00,418.00,244.00,1630.00,128.00,136.00,117.00,174.00,223.00,172.00,819.00,92.00,97.00,108.00,21.00
3-Jun,20.00,490.00,954.00,62.00,92.00,237.00,7623.00,97.00,2319.00,1455.00,5318.00,202.00,310.00,456.00,1033.00,165.00,209.00,685.00,1029.00,583.00,377.00,444.00,251.00,1668.00,129.00,136.00,117.00,176.00,238.00,172.00,858.00,92.00,97.00,118.00,21.00
